PWM	APlus	AMinus	Domain
SH2-PLCG1	0	0	PLCG1
SH2-PLCG2	0	0	PLCG2
SH2-PTK6	0	0	PTK6
SH2-PTPN11	0	0	PTPN11
SH2-PTPN6	0	0	PTPN6
SH2-RASA1	0	0	RASA1
SH2-RIN1	0	0	RIN1
SH2-RIN2	0	0	RIN2
SH2-RIN3	0	0	RIN3
SH2-SH2B1	0	0	SH2B1
SH2-SH2B2	0	0	SH2B2
SH2-SH2B3	0	0	SH2B3
SH2-SH2D1A	0	0	SH2D1A
SH2-SH2D1B	0	0	SH2D1B
SH2-SH2D2A	0	0	SH2D2A
SH2-SH2D3A	0	0	SH2D3A
SH2-SH2D3C	0	0	SH2D3C
SH2-SH2D4A	0	0	SH2D4A
SH2-SH2D4B	0	0	SH2D4B
SH2-SH2D6	0	0	SH2D6
SH2-SH2D7	0	0	SH2D7
SH2-SH3BP2	0	0	SH3BP2
SH2-SHB	0	0	SHB
SH2-SHC1	0	0	SHC1
SH2-SHC2	0	0	SHC2
SH2-SHC3	0	0	SHC3
SH2-SHC4	0	0	SHC4
SH2-SHD	0	0	SHD
SH2-SHE	0	0	SHE
SH2-SHF	0	0	SHF
SH2-SLA	0	0	SLA
SH2-SLA2	0	0	SLA2
SH2-SOCS1	0	0	SOCS1
SH2-SOCS2	0	0	SOCS2
SH2-SOCS3	0	0	SOCS3
SH2-SOCS4	0	0	SOCS4
SH2-SOCS5	0	0	SOCS5
SH2-SOCS6	0	0	SOCS6
SH2-SOCS7	0	0	SOCS7
SH2-SRC	0	0	SRC
SH2-SRMS	0	0	SRMS
SH2-STAP1	0	0	STAP1
SH2-STAP2	0	0	STAP2
SH2-STAT1	0	0	STAT1
SH2-STAT2	0	0	STAT2
SH2-STAT3	0	0	STAT3
SH2-STAT5A	0	0	STAT5A
SH2-STAT5B	0	0	STAT5B
SH2-SYK	0	0	SYK
SH2-TEC	0	0	TEC
SH2-TENC1	0	0	TENC1
SH2-TNS1	0	0	TNS1
SH2-TNS3	0	0	TNS3
SH2-TNS4	0	0	TNS4
SH2-TXK	0	0	TXK
SH2-TYK2	0	0	TYK2
SH2-VAV1	0	0	VAV1
SH2-VAV2	0	0	VAV2
SH2-VAV3	0	0	VAV3
SH2-YES1	0	0	YES1
SH2-ZAP70	0	0	ZAP70
